Date,Open,High,Low,Close,Volume
2023-06-01,61.92,62.45,61.43,62.3,371600
2023-06-02,62.45,63.42,62.45,62.74,485700
2023-06-05,62.68,63.15,62.43,62.86,389900
2023-06-06,62.9,63.1,62.41,63.09,380300
2023-06-07,63.31,63.36,62.8,62.87,326800
2023-06-08,62.76,63.77,62.6,63.75,526400
2023-06-09,63.37,63.5,62.87,63.14,287500
2023-06-12,63.11,63.49,62.93,63.48,381200
2023-06-13,63.51,64.11,63.39,63.71,371200
2023-06-14,64.32,65.37,64.21,64.44,745700
2023-06-15,64.57,64.85,63.6,64.85,579300
2023-06-16,65.11,65.52,64.37,65.08,879900
2023-06-20,64.85,64.85,64.16,64.51,394200
2023-06-21,64.32,65.78,64.15,65.45,591000
2023-06-22,65.28,65.76,64.96,65.71,309500
2023-06-23,65.51,66.02,65.06,65.06,652000
2023-06-26,65.12,65.9,64.86,65.3,480400
2023-06-27,64.92,66.39,64.92,66.38,474000
2023-06-28,66.37,66.94,66.07,66.85,489600
2023-06-29,67.33,67.74,66.78,67.02,550600
2023-06-30,67.32,67.9,67.18,67.71,444000
2023-07-03,67.08,67.64,66.74,67.15,273100
2023-07-05,67.12,67.56,66.67,66.82,428500
2023-07-06,66.43,66.85,65.58,65.67,663600
2023-07-07,65.61,66.12,65.4,65.73,528600
2023-07-10,65.57,66.7,65.57,66.55,698200
2023-07-11,66.9,67.11,66.47,66.89,306500
2023-07-12,66.94,67.43,66.4,67.03,306800
2023-07-13,67.14,67.58,66.87,67.17,471900
2023-07-14,67.39,67.6,66.64,67.26,335300
2023-07-17,66.97,67.66,66.72,67.54,445600
2023-07-18,67.51,68.23,67.19,67.43,539900
2023-07-19,67.7,68.37,67.27,68.35,511000
2023-07-20,68.87,68.99,68.37,68.55,481100
2023-07-21,68.74,68.74,66.39,66.57,959300
2023-07-24,66.69,66.91,65.92,66.75,600800
2023-07-25,66.26,67.88,66.2,67.66,391600
2023-07-26,67.24,67.66,65.94,66.06,490600
2023-07-27,66.16,66.27,65.18,65.21,466700
2023-07-28,65.71,66.74,65.57,66.07,518700
2023-07-31,65.99,66.46,65.27,66.03,756500
2023-08-01,65.93,66.42,65.62,65.96,1006700
2023-08-02,68.44,71.0,68.39,69.32,1926000
2023-08-03,69.56,70.96,69.07,70.58,1073700
2023-08-04,70.65,71.96,70.21,70.25,1157700
2023-08-07,70.37,71.68,70.22,71.67,539400
2023-08-08,71.82,71.83,70.78,71.35,601100
2023-08-09,71.51,71.82,70.19,70.61,609700
2023-08-10,70.66,71.17,69.94,70.56,498500
2023-08-11,70.6,71.3,70.1,71.08,408900
2023-08-14,71.02,71.85,70.94,71.81,467800
2023-08-15,71.86,72.06,70.91,71.0,380500
2023-08-16,71.21,71.85,70.62,70.66,324800
2023-08-17,70.2,70.44,69.13,69.18,441400
2023-08-18,68.82,69.97,68.52,69.5,781900
2023-08-21,69.36,70.28,69.12,69.96,380600
2023-08-22,69.94,70.58,69.3,69.49,351300
2023-08-23,69.77,70.16,69.3,70.12,395400
2023-08-24,69.96,70.58,68.86,68.88,370300
2023-08-25,69.22,69.68,68.95,69.17,215600
2023-08-28,69.08,70.24,69.08,69.99,327300
2023-08-29,69.92,71.01,69.78,70.97,380300
2023-08-30,71.09,71.64,70.93,71.33,391000
2023-08-31,71.44,71.83,71.04,71.04,555500
2023-09-01,71.28,71.57,70.85,70.99,411400
2023-09-05,70.48,70.8,68.35,70.39,665200
2023-09-06,70.39,70.64,69.71,70.33,387300
2023-09-07,70.25,70.76,69.68,69.9,383800
2023-09-08,69.77,70.28,69.62,69.72,465600
2023-09-11,69.69,70.15,69.02,69.2,669900
2023-09-12,68.96,69.32,68.11,68.32,638800
2023-09-13,68.51,68.8,68.11,68.58,440900
2023-09-14,69.14,69.49,68.62,68.73,308200
2023-09-15,68.23,68.36,67.29,67.97,1163000
2023-09-18,68.27,69.14,68.27,69.09,367200
2023-09-19,69.13,69.42,68.79,68.9,307500
2023-09-20,69.18,70.49,69.1,69.92,424500
2023-09-21,69.69,70.36,69.26,70.22,508600
2023-09-22,70.2,70.93,70.08,70.37,492100
2023-09-25,70.25,71.0,69.96,70.06,505600
2023-09-26,69.88,71.0,67.59,67.77,770400
2023-09-27,67.55,68.12,66.24,67.11,890700
2023-09-28,67.56,68.01,66.88,67.57,601000
2023-09-29,67.65,67.83,66.9,67.16,597900
2023-10-02,66.89,66.98,66.21,66.65,551200
2023-10-03,66.63,66.89,65.82,65.91,752900
2023-10-04,65.9,66.39,65.4,66.35,493100
2023-10-05,66.38,67.25,65.99,66.03,826700
2023-10-06,65.68,66.07,65.01,65.04,734700
2023-10-09,64.95,65.62,64.38,65.51,673900
2023-10-10,65.44,65.89,65.27,65.86,576200
2023-10-11,65.63,65.63,64.1,64.25,798200
2023-10-12,64.48,64.51,61.85,62.59,1089300
2023-10-13,62.6,63.86,62.6,63.47,502600
2023-10-16,63.88,64.54,63.56,63.77,450400
2023-10-17,63.52,65.36,63.39,64.74,586200
2023-10-18,64.59,65.42,64.08,64.27,641700
2023-10-19,64.3,64.41,62.98,63.36,480700
2023-10-20,63.32,63.72,62.77,63.04,662900
2023-10-23,62.98,63.64,62.12,62.35,798400
2023-10-24,61.45,63.0,61.21,62.5,639200
2023-10-25,62.16,63.0,61.68,62.03,690300
2023-10-26,61.91,62.56,61.12,61.23,759400
2023-10-27,62.94,62.94,57.55,60.85,1453800
2023-10-30,61.11,61.18,59.57,60.63,1009500
2023-10-31,61.08,62.76,61.08,62.56,847400
2023-11-01,61.92,62.88,61.57,62.56,548300
2023-11-02,62.77,63.58,62.7,63.26,649200
2023-11-03,63.62,64.34,63.36,64.07,668200
2023-11-06,63.8,64.53,63.51,64.44,717800
2023-11-07,64.36,64.61,63.92,64.39,431200
2023-11-08,64.69,64.78,63.68,64.05,377700
2023-11-09,64.15,64.3,63.17,63.58,483500
2023-11-10,63.55,63.57,62.58,62.85,1357300
2023-11-13,63.06,64.5,63.02,63.4,636800
2023-11-14,63.93,65.45,63.93,64.67,702800
2023-11-15,64.55,65.21,63.87,63.9,843900
2023-11-16,63.79,64.32,63.59,63.83,555100
2023-11-17,64.25,64.6,64.03,64.33,426400
2023-11-20,63.88,65.0,63.79,64.94,451200
2023-11-21,65.09,65.68,64.93,65.46,334900
2023-11-22,65.82,66.19,65.61,66.06,341500
2023-11-24,65.98,66.33,65.79,66.19,134400
2023-11-27,65.97,66.18,64.94,65.13,476800
2023-11-28,65.16,65.16,64.55,64.59,326800
2023-11-29,64.9,65.21,64.27,64.33,432500
2023-11-30,64.24,65.25,63.78,65.17,558700
2023-12-01,65.3,66.53,65.26,66.39,500300
2023-12-04,66.5,67.03,66.19,66.83,547100
2023-12-05,66.58,66.79,65.38,65.47,421400
2023-12-06,65.6,66.11,64.68,65.1,411900
2023-12-07,65.06,65.13,64.27,64.99,472500
2023-12-08,64.9,65.03,64.15,64.8,674500
2023-12-11,65.12,65.75,64.38,65.63,651800
2023-12-12,65.66,66.46,65.34,65.99,598600
2023-12-13,65.97,67.34,65.87,66.97,737700
2023-12-14,67.58,68.28,67.36,67.52,986400
2023-12-15,67.09,67.3,65.33,65.51,1886700
2023-12-18,65.71,66.26,65.39,65.97,603800
2023-12-19,66.26,66.83,66.1,66.72,492900
2023-12-20,66.49,66.71,65.8,65.81,480100
2023-12-21,66.1,66.67,65.96,66.52,364800
2023-12-22,66.84,67.45,66.63,67.18,438500
2023-12-26,67.18,67.9,67.0,67.46,275100
2023-12-27,67.59,67.83,67.44,67.55,427800
2023-12-28,67.3,67.86,66.95,67.24,362100
2023-12-29,67.17,67.27,66.36,66.72,431800
2024-01-02,66.0,67.19,65.99,67.16,520500
2024-01-03,67.01,67.31,66.55,67.1,509800
2024-01-04,67.07,67.53,66.36,66.88,781800
2024-01-05,66.98,68.42,66.87,68.04,1040100
2024-01-08,68.09,68.5,67.12,68.02,429900
2024-01-09,67.85,68.41,67.43,68.26,361600
2024-01-10,68.15,68.96,68.15,68.46,422100
2024-01-11,68.38,69.05,68.05,68.89,441200
2024-01-12,69.2,70.0,68.57,68.94,641300
2024-01-16,68.74,71.5,67.94,71.45,1042500
2024-01-17,71.34,71.83,69.72,69.79,452000
2024-01-18,69.95,70.87,69.77,70.86,492400
2024-01-19,71.0,71.0,69.99,70.46,388100
2024-01-22,70.77,71.43,70.72,70.97,361000
2024-01-23,71.0,71.0,70.21,70.77,336800
2024-01-24,70.96,70.97,70.17,70.54,387700
2024-01-25,70.79,71.19,69.95,71.19,511000
2024-01-26,71.56,72.09,70.82,71.68,543000
2024-01-29,71.24,71.67,70.74,71.6,638600
2024-01-30,72.03,72.22,71.51,71.87,406100
2024-01-31,72.43,72.99,71.02,71.04,465000
2024-02-01,70.88,73.38,70.88,73.0,765100
2024-02-02,72.58,73.28,71.96,72.28,482800
2024-02-05,72.23,72.47,70.83,71.82,705500
2024-02-06,71.79,72.55,71.79,72.19,502200
2024-02-07,72.27,73.65,71.99,72.76,805400
2024-02-08,73.5,76.84,72.37,73.45,1992900
2024-02-09,74.17,74.17,72.42,72.93,739000
2024-02-12,72.9,73.6,72.38,73.57,643700
2024-02-13,72.79,74.1,72.53,73.07,705900
2024-02-14,73.41,73.68,72.57,73.35,591800
2024-02-15,73.73,74.4,73.35,73.78,394800
2024-02-16,73.77,74.14,73.14,73.55,452000
2024-02-20,73.27,74.27,73.02,74.01,554800
2024-02-21,73.76,74.76,73.74,74.53,735600
2024-02-22,74.53,74.8,73.92,74.16,891000
2024-02-23,74.3,75.77,74.16,75.25,677400
2024-02-26,75.37,75.85,74.8,75.39,596100
2024-02-27,75.28,75.9,75.04,75.34,417200
2024-02-28,75.29,75.65,74.49,74.72,417300
2024-02-29,74.99,75.17,73.68,74.4,865900
2024-03-01,74.43,74.87,73.82,74.2,613800
2024-03-04,74.32,75.39,74.29,74.86,544200
2024-03-05,75.18,75.4,74.47,74.8,459700
2024-03-06,75.35,76.63,74.9,76.6,791300
2024-03-07,77.35,78.11,77.16,77.37,614100
2024-03-08,77.38,77.58,76.26,76.45,430000
2024-03-11,76.2,76.35,75.47,75.77,376200
2024-03-12,75.53,76.96,75.32,76.95,611100
2024-03-13,76.93,78.03,75.83,76.12,682600
2024-03-14,75.77,76.25,74.3,75.11,527900
2024-03-15,74.49,75.19,74.27,74.75,1382800
2024-03-18,74.75,76.46,74.45,75.99,832900
2024-03-19,76.11,77.43,76.11,77.26,695200
2024-03-20,77.45,77.45,76.12,76.67,580900
2024-03-21,76.81,77.72,76.63,77.3,548500
2024-03-22,77.31,77.75,76.44,76.51,689500
2024-03-25,76.7,76.97,76.12,76.14,465300
2024-03-26,76.25,76.86,76.11,76.74,410300
2024-03-27,77.47,77.91,77.09,77.71,443900
2024-03-28,80.19,83.73,80.19,82.58,1859900
2024-04-01,81.97,83.36,81.08,83.23,1439000
2024-04-02,82.64,82.75,81.18,82.0,852500
2024-04-03,81.86,83.12,81.86,82.2,955500
2024-04-04,82.57,82.85,80.93,81.0,587600
2024-04-05,80.93,83.41,80.92,83.36,867100
2024-04-08,82.85,83.17,82.24,82.31,631000
2024-04-09,82.41,82.67,81.28,81.95,548100
2024-04-10,81.21,81.75,80.53,81.57,652300
2024-04-11,81.73,81.91,81.08,81.66,489800
2024-04-12,81.58,81.89,80.47,80.49,611100
2024-04-15,81.18,81.75,80.22,80.73,563400
2024-04-16,81.05,81.41,79.33,79.97,722000
2024-04-17,80.4,81.01,79.43,79.69,644100
2024-04-18,79.32,79.81,78.53,78.62,769200
2024-04-19,78.65,79.5,78.65,79.22,784400
2024-04-22,79.69,81.07,79.26,80.33,619700
2024-04-23,80.77,82.49,80.49,82.46,695600
2024-04-24,82.35,83.62,82.23,82.8,1216600
2024-04-25,85.25,85.84,81.45,82.73,1488300
2024-04-26,82.32,83.17,82.09,82.47,706600
2024-04-29,82.77,83.92,82.67,83.64,537900
2024-04-30,83.52,83.9,82.75,83.38,764400
2024-05-01,82.83,84.07,82.82,82.88,543800
2024-05-02,83.22,83.72,82.38,83.42,465400
2024-05-03,83.73,84.08,82.83,83.21,601900
2024-05-06,83.6,84.54,83.05,84.51,452400
2024-05-07,85.15,86.6,84.93,85.88,973800
2024-05-08,85.83,85.86,84.87,85.29,519300
2024-05-09,85.2,86.52,85.0,86.37,503800
2024-05-10,86.44,86.72,85.83,86.53,719300
2024-05-13,86.57,86.89,85.78,86.18,477300
2024-05-14,86.64,87.04,85.86,86.85,550000
2024-05-15,87.2,87.94,87.04,87.09,425200
2024-05-16,86.78,87.3,85.1,85.44,654900
2024-05-17,85.43,85.56,84.79,85.45,355300
2024-05-20,85.71,86.14,85.28,86.11,288300
2024-05-21,86.15,86.24,85.31,85.8,254700
2024-05-22,85.71,86.09,85.21,85.35,305200
2024-05-23,85.16,85.51,84.52,84.55,340700
2024-05-24,85.37,85.46,84.43,84.49,408900
2024-05-28,84.14,84.53,83.39,83.47,438800
2024-05-29,82.91,84.64,82.8,84.23,590800
2024-05-30,84.32,85.77,84.32,85.61,434600
2024-05-31,85.65,86.4,84.93,86.39,545700
2024-06-03,85.93,86.23,83.22,83.59,1012500
2024-06-04,83.23,84.95,83.23,84.5,469200
2024-06-05,84.71,86.72,84.66,86.01,567700
2024-06-06,85.72,85.89,84.95,85.27,494300
2024-06-07,84.87,85.52,84.7,84.85,249000
2024-06-10,84.0,86.35,83.98,85.96,610900
2024-06-11,85.59,85.59,84.49,84.57,387300
2024-06-12,85.4,85.87,84.52,85.38,731600
2024-06-13,85.29,85.29,83.88,84.93,580200
2024-06-14,84.42,84.66,83.85,84.3,453700
2024-06-17,83.9,85.34,83.55,85.32,630900
2024-06-18,85.4,85.48,84.46,85.36,753000
2024-06-20,84.94,85.63,83.8,84.48,521700
2024-06-21,84.88,85.47,84.59,84.86,1399200
2024-06-24,84.95,86.23,84.91,85.35,459600
2024-06-25,85.45,85.8,84.7,84.87,496800
2024-06-26,84.53,84.92,83.9,84.59,474400
2024-06-27,84.59,86.03,83.21,85.86,712400
2024-06-28,85.91,86.87,84.98,85.79,1001800
2024-07-01,85.92,87.17,85.19,85.36,975700
2024-07-02,85.65,85.79,84.9,85.57,648400
2024-07-03,85.64,86.21,84.87,86.04,547800
2024-07-05,85.49,85.82,84.52,85.25,860600
2024-07-08,85.54,85.78,83.96,83.97,478100
2024-07-09,84.11,84.54,83.68,83.97,412600
2024-07-10,84.45,85.35,84.24,84.77,503400
2024-07-11,85.2,85.98,84.54,85.9,1038800
2024-07-12,86.35,87.59,86.11,86.54,482400
2024-07-15,86.31,87.24,85.46,85.49,474100
2024-07-16,86.08,87.28,86.08,87.14,323800
2024-07-17,87.2,88.35,86.82,86.84,374300
2024-07-18,86.55,87.67,85.23,85.27,457900
2024-07-19,85.89,85.89,85.0,85.36,534900
2024-07-22,85.62,86.33,84.44,86.31,701000
2024-07-23,87.03,87.48,85.92,86.75,562600
2024-07-24,88.35,89.8,87.89,88.92,665400
2024-07-25,89.4,91.01,89.04,90.64,756300
2024-07-26,91.05,91.96,90.8,91.61,573000
2024-07-29,91.85,92.45,91.25,91.5,988400
2024-07-30,91.59,92.89,91.03,92.73,1191200
2024-07-31,93.05,94.38,92.39,92.94,986100
2024-08-01,92.95,94.2,92.29,93.02,1184800
2024-08-02,91.73,93.03,91.32,92.71,774200
2024-08-05,90.08,90.65,88.15,89.67,1278500
2024-08-06,86.14,87.34,82.74,84.68,2039500
2024-08-07,85.79,86.4,84.63,84.99,828400
2024-08-08,85.21,87.93,85.21,87.09,875200
2024-08-09,86.87,87.18,85.64,85.72,759300
2024-08-12,85.55,87.14,85.55,86.86,651800
2024-08-13,87.19,87.26,85.92,87.02,659400
2024-08-14,87.12,87.82,86.87,86.98,280900
2024-08-15,88.26,89.59,87.36,89.3,505700
2024-08-16,89.46,89.59,88.41,88.62,426000
2024-08-19,88.48,88.9,87.93,88.6,731600
2024-08-20,88.66,89.1,88.05,88.63,684100
2024-08-21,88.81,89.57,88.38,89.41,462400
2024-08-22,90.04,90.45,89.43,89.9,415800
2024-08-23,90.1,91.65,90.05,91.48,542800
2024-08-26,91.68,92.16,90.91,90.93,338900
2024-08-27,90.79,91.86,90.52,91.29,310200
2024-08-28,91.42,91.84,90.77,91.55,415400
2024-08-29,92.0,92.17,91.12,91.62,366200
2024-08-30,91.58,93.21,90.94,93.05,601300
2024-09-03,93.0,93.26,92.21,93.26,481300
2024-09-04,92.94,93.7,92.74,93.61,498500
2024-09-05,93.6,93.9,93.08,93.39,373400
2024-09-06,93.64,94.22,91.48,91.66,382700
2024-09-09,91.9,92.22,90.86,91.37,516600
2024-09-10,91.47,92.9,90.54,91.67,530600
2024-09-11,91.1,91.88,90.43,91.71,304800
2024-09-12,91.61,92.62,91.05,92.6,304800
2024-09-13,93.0,93.68,92.87,93.25,332200
2024-09-16,93.75,94.59,93.52,93.63,341400
2024-09-17,94.03,94.41,91.22,91.32,701900
2024-09-18,91.57,93.54,90.72,92.45,464300
2024-09-19,93.19,93.61,91.94,92.06,582500
2024-09-20,91.91,92.71,90.87,92.65,1467800
2024-09-23,93.06,93.59,91.84,92.82,545400
2024-09-24,92.51,95.96,92.27,95.26,1257900
2024-09-25,95.8,96.93,95.55,96.75,958200
2024-09-26,96.84,97.56,96.49,97.17,834800
2024-09-27,97.0,97.08,94.87,96.01,793500
2024-09-30,96.13,96.83,95.07,96.64,611100
2024-10-01,96.18,96.18,95.32,95.74,350900
2024-10-02,95.21,96.04,94.93,95.09,282200
2024-10-03,95.14,95.27,94.29,94.73,419600
2024-10-04,95.28,95.3,94.14,94.5,427000
2024-10-07,94.21,94.93,93.86,94.11,480400
2024-10-08,94.51,94.51,93.25,93.42,434000
2024-10-09,93.18,94.55,93.15,94.19,528900
2024-10-10,93.88,94.76,92.93,93.57,405100
2024-10-11,94.46,96.2,94.16,95.97,566000
2024-10-14,96.05,96.71,95.63,96.3,266900
2024-10-15,95.74,97.46,95.74,96.33,310100
2024-10-16,96.68,98.74,96.57,97.37,489800
2024-10-17,96.84,97.62,96.84,96.89,343900
2024-10-18,96.62,97.75,96.44,97.19,770100
2024-10-21,97.16,97.91,95.64,95.75,538800
2024-10-22,95.64,95.91,95.13,95.49,439600
2024-10-23,95.39,96.15,95.17,95.66,355900
2024-10-24,95.71,96.08,94.65,94.66,414100
2024-10-25,92.99,93.75,91.93,93.46,893500
2024-10-28,93.72,94.99,92.77,93.09,1279200
2024-10-29,100.5,102.36,98.04,100.0,2378600
2024-10-30,99.78,101.56,99.08,101.34,1205600
2024-10-31,100.64,102.2,99.42,99.46,863300
2024-11-01,100.22,100.83,98.65,98.91,771700
2024-11-04,98.91,100.84,98.91,100.23,867800
2024-11-05,100.08,102.04,99.58,101.34,631600
2024-11-06,102.0,103.64,99.41,101.91,859900
2024-11-07,102.3,103.89,102.06,103.53,693700
2024-11-08,104.12,104.53,102.9,103.2,620600
2024-11-11,103.59,104.55,103.24,103.28,376300
2024-11-12,103.5,103.69,101.71,102.61,665300
2024-11-13,103.06,103.75,102.62,102.69,477300
2024-11-14,102.54,103.15,101.02,101.21,540600
2024-11-15,101.14,101.55,98.63,98.85,867700
2024-11-18,99.13,99.99,98.89,99.23,679500
2024-11-19,98.44,99.27,97.57,99.1,520600
2024-11-20,99.28,99.68,98.29,98.93,678100
2024-11-21,98.48,99.65,98.09,99.4,695900
2024-11-22,99.43,101.22,99.1,101.12,776100
2024-11-25,101.04,102.76,101.04,102.0,768400
2024-11-26,102.24,103.8,101.58,103.77,546800
2024-11-27,103.59,104.16,102.34,102.84,543900
2024-11-29,102.92,103.36,102.1,102.94,273200
2024-12-02,102.76,103.0,101.48,102.4,521100
2024-12-03,102.74,102.74,101.72,102.46,546700
2024-12-04,102.46,103.73,101.77,102.4,783700
2024-12-05,102.4,103.0,101.14,102.87,690000
2024-12-06,102.92,103.79,101.65,102.5,536400
2024-12-09,102.51,102.82,101.33,101.65,623300
2024-12-10,101.66,102.44,100.78,101.29,501500
2024-12-11,101.21,102.19,100.96,101.58,816800
2024-12-12,102.13,102.13,98.21,98.66,474800
2024-12-13,98.4,99.47,98.09,98.19,523400
2024-12-16,97.88,99.73,97.18,97.72,790100
2024-12-17,97.27,97.8,95.65,96.94,962300
2024-12-18,97.29,97.34,94.17,94.31,708900
2024-12-19,94.19,95.36,93.77,93.83,736800
2024-12-20,93.97,95.19,93.73,94.45,1396900
2024-12-23,93.96,94.34,92.94,94.19,426700
2024-12-24,93.94,94.38,93.31,94.17,135400
2024-12-26,94.02,94.57,93.88,94.34,325500
2024-12-27,93.67,94.53,92.8,93.59,415700
2024-12-30,93.4,93.59,92.05,92.42,539500
2024-12-31,92.89,93.2,92.0,92.35,518400
2025-01-02,92.76,92.87,91.32,91.85,520300
2025-01-03,91.31,91.89,87.85,91.18,815600
2025-01-06,90.43,91.87,90.26,91.21,664000
2025-01-07,91.81,92.36,90.67,91.57,823700
2025-01-08,91.22,92.95,90.91,92.84,601400
2025-01-10,91.84,92.93,90.91,91.05,464600
2025-01-13,90.67,92.62,90.67,92.56,529100
2025-01-14,92.44,93.13,91.33,93.06,442800
2025-01-15,93.9,94.02,92.73,93.61,352500
2025-01-16,93.58,94.56,93.18,94.41,369000
2025-01-17,94.45,95.57,94.4,94.74,471100
2025-01-21,95.29,96.37,95.29,95.79,490500
2025-01-22,95.82,95.82,94.09,94.51,455000
2025-01-23,94.54,95.34,93.82,95.27,558900
2025-01-24,94.9,95.92,94.45,95.65,534200
2025-01-27,95.93,98.58,95.44,96.35,776000
2025-01-28,96.58,99.02,96.41,96.78,889100
2025-01-29,96.67,96.94,95.02,95.57,778600
2025-01-30,96.1,98.61,95.56,98.41,644600
2025-01-31,98.3,103.12,98.0,99.27,1031400
2025-02-03,97.98,101.58,97.72,100.58,800500
2025-02-04,99.76,101.44,99.76,101.16,628000
2025-02-05,101.42,102.38,101.39,102.2,718800
2025-02-06,101.73,102.06,97.88,98.6,1096300
2025-02-07,102.36,103.83,97.02,99.86,1202500
2025-02-10,99.23,100.08,96.69,98.63,725800
2025-02-11,98.84,100.96,98.84,99.4,630200
2025-02-12,98.61,99.16,97.43,98.03,660300
2025-02-13,98.51,100.16,97.78,100.14,507600
2025-02-14,100.31,101.65,99.03,100.86,588600
2025-02-18,100.64,102.34,100.44,102.2,605100
2025-02-19,101.38,102.86,101.29,101.58,634000
2025-02-20,100.93,101.38,98.8,99.89,667400
2025-02-21,98.97,99.76,97.36,97.53,791500
2025-02-24,97.59,99.29,97.58,98.88,465200
2025-02-25,99.21,101.0,98.71,100.63,527700
2025-02-26,99.79,100.4,98.49,99.22,525100
2025-02-27,99.46,101.24,98.64,100.34,732700
2025-02-28,99.25,100.15,95.68,100.14,946300
2025-03-03,99.93,100.79,99.07,99.79,681600
